data,abertura,alta,baixa,fechamento,ajuste_proximo,Volume
38699,12420000000,12460000000,12260000000,12400000000,9440514648,16596150
38700,12440000000,12540000000,12160000000,12220000000,9303475586,26300350
38701,12180000000,12320000000,12020000000,12180000000,9273024414,18607050
38702,12120000000,12120000000,11860000000,12000000000,9135983398,29408600
38705,12140000000,12280000000,12040000000,12180000000,9273024414,17987750
38706,12060000000,12280000000,12040000000,12240000000,9318703125,17198500
38707,12280000000,12700000000,12280000000,12560000000,9562328125,25337350
38708,12700000000,12940000000,12620000000,12680000000,9653688477,28095000
38709,12840000000,13040000000,12720000000,12900000000,9821183594,28658350
38712,13000000000,13260000000,12980000000,13080000000,9958224609,17830000
38713,13180000000,13280000000,12960000000,13220000000,10064806641,18003350
38714,13160000000,13260000000,13100000000,13220000000,10064806641,21403250
38715,13200000000,13400000000,13140000000,13160000000,10019126953,20916500
38719,13280000000,13360000000,13120000000,13200000000,10049583008,16985900
38720,13200000000,13320000000,13120000000,13280000000,10110487305,17385550
38721,13500000000,14000000000,13460000000,13940000000,10612964844,38604500
38722,13900000000,13900000000,13420000000,13580000000,10338889648,25783750
38723,13700000000,13760000000,13580000000,13680000000,10415022461,17394550
38726,13900000000,13940000000,13660000000,13740000000,10460697266,14995150
38727,13900000000,14020000000,13760000000,14020000000,10673873047,23642650
38728,13860000000,13960000000,13580000000,13680000000,10415022461,17463600
38729,13680000000,13840000000,13620000000,13720000000,10445472656,20117150
38730,13540000000,13880000000,13360000000,13840000000,10536833008,23698600
38733,14000000000,14140000000,13920000000,14120000000,10750009766,19141550
38734,14140000000,14420000000,13940000000,13940000000,10612964844,21328900
38735,13700000000,13780000000,13460000000,13600000000,10354114258,30346800
38736,13640000000,13900000000,13600000000,13800000000,10506378906,19527000
38737,14040000000,14160000000,13700000000,13740000000,10460697266,23040500
38740,13540000000,13900000000,13420000000,13700000000,10430250000,26815250
38741,13660000000,14000000000,13600000000,13940000000,10612964844,29027200
38742,14180000000,14400000000,14100000000,14220000000,10826136719,29240350
38743,14280000000,14360000000,14100000000,14340000000,10917498047,18556250
38744,14400000000,14480000000,14260000000,14400000000,10963174805,15678300
38748,14460000000,14820000000,14380000000,14800000000,11267714844,22323350
38749,14700000000,14860000000,14460000000,14580000000,11100218750,22008350
38750,14760000000,14780000000,14400000000,14500000000,11039310547,19091550
38751,14360000000,14360000000,14040000000,14080000000,10719556641,22207700
38754,14000000000,14120000000,13860000000,14120000000,10750009766,21292250
38755,14180000000,14600000000,14120000000,14120000000,10750009766,16585550
38756,14000000000,14180000000,13700000000,13820000000,10521603516,19114600
38757,13920000000,13940000000,13740000000,13860000000,10552061523,18383250
38758,13840000000,13920000000,13580000000,13740000000,10460697266,21849750
38761,13720000000,13740000000,13360000000,13500000000,10277980469,24189900
38762,13400000000,13540000000,13260000000,13460000000,10247528320,25982850
38763,13560000000,13560000000,13080000000,13080000000,9958224609,33419850
38764,13020000000,13140000000,12920000000,13140000000,10003902344,24749200
38765,13220000000,13480000000,13200000000,13460000000,10247528320,21790650
38768,13360000000,13680000000,13340000000,13660000000,10399794922,16332050
38769,13640000000,13660000000,13400000000,13460000000,10247528320,17356300
38770,13380000000,13580000000,13260000000,13400000000,10201848633,24953700
38771,13420000000,13680000000,13420000000,13620000000,10369341797,16389950
38772,13560000000,13640000000,13500000000,13540000000,10308438477,14116450
38775,13560000000,13820000000,13540000000,13820000000,10521603516,11793500
38776,13880000000,13960000000,13660000000,13740000000,10460697266,12647050
38778,13920000000,14000000000,13680000000,13860000000,10552061523,15105700
38779,13640000000,13680000000,13000000000,13080000000,9958224609,37932400
38782,13120000000,13160000000,12980000000,13160000000,10019126953,22717900
38783,13000000000,13040000000,12540000000,12600000000,9592781250,39482000
38784,12300000000,12520000000,12160000000,12460000000,9486196289,49381050
38785,12320000000,12580000000,12220000000,12360000000,9410060547,38599000
38786,12280000000,12640000000,12280000000,12440000000,9470970703,28422100
38789,12580000000,12640000000,12480000000,12640000000,9623234375,19012200
38790,12560000000,12640000000,12380000000,12480000000,9501422852,17767050
38791,12580000000,12740000000,12560000000,12600000000,9592781250,19438500
38792,12740000000,12820000000,12620000000,12640000000,9623234375,14018000
38793,12580000000,12800000000,12440000000,12740000000,9699371094,13567500
38796,12780000000,12800000000,12560000000,12780000000,9729819336,9950600
38797,12760000000,12800000000,12600000000,12680000000,9653688477,11453100
38798,12500000000,12540000000,12180000000,12280000000,9349159180,30051700
38799,12280000000,12380000000,12080000000,12160000000,9257795898,25534150
38800,12160000000,12240000000,12100000000,12180000000,9273024414,17171750
38803,12100000000,12580000000,12100000000,12500000000,9516647461,19508950
38804,12320000000,12600000000,12320000000,12560000000,9562328125,15167900
38805,12420000000,12520000000,12300000000,12520000000,9531874023,15189400
38806,12640000000,12680000000,12360000000,12460000000,9486196289,14663350
